SKU,Scanned_OH_Count,Description,DRS Cost
S002384002,0,WB Skirt Long,3
S002384017,0,Jewelry / mushrooms,0.6
S002384035,0,WT T-Shirt,1.5
S002384063,0,WB Denim,4.8
S002384105,0,Purse Small,0.8
S002384155,0,Baseball Hat,4.9
S002384222,0,WB Shorts,1.8
S002384230,0,WT T-Shirt,1.5
S002384253,0,W Sandals Flips,2.64
S002384311,0,MB Shorts/ oneill,3.9
S002384323,0,MA Long Sleeve,4.8
S002384330,0,WB Skirt Long/2pc,1.8
S002384340,0,WT S Sleeve,2.1
S002384396,0,MB Denim,4.8
S002384463,0,WB Denim,3.9
S002384510,0,Purse Large,14
S002384523,0,WD Dress Short,4.9
S002384540,0,WT Long Sleeve,3.9
S002384592,0,WB Denim,4.8
S002384624,0,WT Long Sleeve,3
S002384638,0,WB Black,4.8
S002384641,0,WB Skirt Short,4
S002384662,0,MT S Sleeve,1
S002384674,0,WB Denim,3.9
S002384736,0,WA Tank,2.4
S002384814,0,W Boots Leather,8.8
S002384824,0,WB Shorts,1.8
S002384844,0,WA Tank,3
S002384921,0,MT T-Shirt L/S,1.8
S002384922,0,Jewelry,0.6
S002384923,0,Jewelry,0.6
S002384924,0,Jewelry,0.6
S002384925,0,Jewelry,0.6
S002384926,0,Jewelry,0.6
S002384927,0,Jewelry,0.6
S002384928,0,Jewelry,0.6
S002384929,0,Jewelry,0.6
S002384938,0,WT Long Sleeve/liveinthemoment,3
S002385002,0,WT T-Shirt,1.8
S002385014,0,WT T-Shirt L/S,3
S002385056,0,M Casual Shoe Syn/As Is,4.2
S002385074,0,Coin Purse,0.6
S002385148,0,WA Shorts,3
S002385169,0,WA Shorts,6.5
S002385229,0,WT LW Sweater,2.4
S002385254,0,WT S Sleeve,1.8
S002385404,0,WO Light,5.2
S002385447,0,WT Long Sleeve,3.25
S002385448,0,WT Long Sleeve,3.25
S002385490,0,MT T-Shirt/playstation,1.8
S002385538,0,MT S Sleeve,2.1
S002385636,0,MT S Sleeve,3.25
S002385641,0,MT T-Shirt,1.8
S002385734,0,W Boots Syn / Purple,4.9
S002385736,0,WD Dress Short,4.2
S002385882,0,MT LW Sweater,4.55
S002385920,0,WT LW Sweatshirt,4.88
S002385933,0,M Athletic Shoe / Black White,11.4
S002386165,0,Beanie/pinkpompom,1.6
S002386174,0,WA Jacket,2.4
S002386367,0,WT Long Sleeve,3
S002386403,0,WT Long Sleeve,2.4
S002386428,0,MT L Sleeve,2.4
S002386461,0,W Boots Syn,4.9
S002386506,0,WD Dress Short,2.45
S002386549,0,WT Long Sleeve,2.4
S002386559,0,WA Tank,3.6
S002386668,0,WT Long Sleeve,2.4
S002386695,0,MA Short Sleeve,3
S002386721,0,MA Short Sleeve,3
S002386724,0,MA Pants,5.85
S002386875,0,MT S Sleeve,2.1
S002386884,0,MT T-Shirt,2.1
S002386988,0,MB Shorts,2.4
S002387075,0,WO Light,5.2
S002387117,0,WD Dress Short,3.96
S002387194,0,WT Long Sleeve,2.4
S002387240,0,MT T-Shirt,1.5
S002387347,0,WT Long Sleeve,2.4
S002387393,0,MT LW Sweater,3.25
S002387480,0,WO Denim,3.9
S002387483,0,WA Tank,6.08
S002387484,0,WD Dress Short,4.62
S002387490,0,Jewelry/Silver Rowing Bracelet,3
S002387491,0,Jewelry/Silver BikeChain Bracelet,0.8
S002387497,0,Jewelry / Silver Pearl,0.6
S002387499,0,Jewelry / Silver Torch,0.6
S002387501,0,Jewelry / Silver Abalone,0.6
S002387546,0,MT L Sleeve/10deep,3
S002387575,0,WT T-Shirt,2.4
S002387585,0,WA Shorts,2.4
S002387599,0,WT LW Sweater,3
S002387607,0,WB Skirt Short/rock&rags,2.4
S002387631,0,WB Skirt Short,1.65
S002387634,0,WB Skirt Short,1.65
S002387650,0,WD Dress Short,3
S002387668,0,MA Pants,5.85
S002387669,0,MT T-Shirt,2.6
S002387710,0,MT LW Sweatshirt,4.55
S002387781,0,WT Long Sleeve,4.55
S002387820,0,Jewelry / Black Gem Necklace,1.5
S002387848,0,WD Dress Short,2.4
S002387919,0,WB Shorts,2.4
S002387973,0,MT L Sleeve,2.4
S002387978,0,W Athletic Shoe / Red,8.36
S002387981,0,W Sandals Syn / Tan Clear Stud,4.9
S002388002,0,WD Dress Short,5.6
S002388027,0,MA Short Sleeve,3
S002388032,0,WA Jacket,3
S002388033,0,W Casual Shoe Syn,4.9
S002388041,0,Hat/Patriots,1.6
S002388067,0,WT Long Sleeve,1.8
S002388194,0,WT Long Sleeve,2.4
S002388275,0,WT S Sleeve,2.1
S002388281,0,WA Tank,1.33
S002388335,0,WB Pants,3.9
S002388356,0,WD Dress Short,2.45
S002388361,0,WA Short Sleeve,7.6
S002388380,0,WT LW Sweater,2.4
S002388476,0,W Athletic Shoe,9.5
S002388478,0,M Boots Leather,5.6
S002388513,0,MT T-Shirt,1.5
S002388526,0,W Athletic Shoe,8.36
S002388578,0,M Casual Shoe Syn / Black,3.5
S002388672,0,WT T-Shirt L/S,1.8
S002388677,0,WD Dress Short/jgee,3
S002388685,0,W Dress Shoe Syn,3.33
S002388727,0,WB S/S BodySuit,3.57
S002388767,0,WO Light,3.9
S002388865,0,WD Dress Short,5.6
S002389003,0,WT Long Sleeve,3.25
S002389010,0,MB Shorts,1.87
S002389028,0,WT Long Sleeve,3.25
S002389036,0,MT T-Shirt,3.25
